MLS_ID,address,list_price,sold_price,house_type,bedrooms,bathrooms,dom,built_year,garage_type,Liv Area sqft,latitude,longitude,neighborhood,sqft,region,lot_size,listing_date,season,original_price
202506560,"118 Fossil Creek Crescent, Winnipeg R3Y 2J9",0,0,RD,4,3.5,49,2025,Double Attached,1745,0.0,0.0,Prairie Pointe,1745,Prairie Pointe,0.0,2025-06-11,Summer,0
202421185,"120 Lindenshore Drive , Winnipeg R3P 2M9",0,0,RD,5,6.0,202,2000,Multiple Attached,4400,0.0,0.0,Linden Woods,4400,Linden Woods,0.0,2025-06-11,Summer,0
202511345,"15 Leander Crescent , Winnipeg R3Y 1W5",0,0,RD,4,3.0,8,2002,Double Attached,1794,0.0,0.0,Whyte Ridge,1794,Whyte Ridge,0.0,2025-06-11,Summer,0
202508295,"147 Apple Hill Road , Winnipeg R3Y 1A3",0,0,RD,4,2.5,8,1987,"Double Attached, Front Drive Access, Paved Drivewa",1736,0.0,0.0,Whyte Ridge,1736,Whyte Ridge,0.0,2025-06-11,Summer,0
202509503,"116 Le Maire Street , Winnipeg R3V 1C9",0,0,SA,3,1.0,6,1972,"Parking Pad, Rear Drive Access, Unpaved Driveway",928,0.0,0.0,Grandmont Park,928,Grandmont Park,0.0,2025-06-11,Summer,0
202510836,"281 Appleford Gate , Winnipeg R3Y 0S5",0,0,RD,3,2.5,10,2015,Double Detached,1615,0.0,0.0,Bridgwater Trails,1615,Bridgwater Trails,0.0,2025-06-11,Summer,0
202511093,"131 Lake Bend Road , Winnipeg R3Y 0M4",0,0,RD,5,3.5,7,2014,Double Attached,nan,0.0,0.0,Bridgwater Lakes,0,Bridgwater Lakes,0.0,2025-06-11,Summer,0
202509790,"8500 Roblin Boulevard , Headingley R4J 1B3",0,0,RD,2,3.5,8,1973,Multiple Detached,2230,0.0,0.0,Headingley South,2230,Headingley South,0.0,2025-06-11,Summer,0
202511301,"219 Dumoulin Street , Winnipeg R2H 0E4",0,0,RD,3,2.0,8,1949,Double Detached,nan,0.0,0.0,St Boniface,0,St Boniface,0.0,2025-06-11,Summer,0
202510855,"41 West Fernwood Avenue , Winnipeg R2M 1W7",0,0,RD,2,2.0,7,1928,"Single Detached, Front Drive Access, Garage door o",779,0.0,0.0,Norberry,779,Norberry,0.0,2025-06-11,Summer,0
202511397,"50 Tyrone Bay , Winnipeg R2M 4R2",0,0,RD,3,2.0,12,1975,Single Attached,1204,0.0,0.0,Pulberry,1204,Pulberry,0.0,2025-06-11,Summer,0
202511581,"20 Cunnington Avenue , Winnipeg R2M 0W5",0,0,RD,4,1.5,6,1927,Double Detached,2080,0.0,0.0,Elm Park,2080,Elm Park,0.0,2025-06-11,Summer,0
202510588,"366 Riel Avenue , Winnipeg R2M 4P1",0,0,RD,4,2.0,9,1975,Single Attached,1116,0.0,0.0,Bright Oaks,1116,Bright Oaks,0.0,2025-06-11,Summer,0
202510609,"107 Hindley Avenue , Winnipeg R2M 1P6",0,0,RD,3,2.0,8,1951,Double Detached,856,0.0,0.0,St Vital,856,St Vital,0.0,2025-06-11,Summer,0
202506000,"299 Redwood Avenue , Winnipeg R2W 1S1",0,0,RD,3,1.0,5,0,Single Detached,1000,0.0,0.0,North End,1000,North End,0.0,2025-06-11,Summer,0
202511698,"648 Niagara Street , Winnipeg R3N 0V4",0,0,RD,3,3.0,4,1926,nan,nan,0.0,0.0,Crescentwood,0,Crescentwood,0.0,2025-06-11,Summer,0
202508223,"502 Kingsford Avenue , Winnipeg R2G 0K2",0,0,RD,3,1.5,8,1955,Single Detached,1358,0.0,0.0,East Kildonan,1358,East Kildonan,0.0,2025-06-11,Summer,0
202511324,"10 Inman Avenue , Winnipeg R2M 0R5",0,0,SA,2,1.5,7,1978,Parking Pad,nan,0.0,0.0,St Vital,0,St Vital,0.0,2025-06-11,Summer,0
202511382,"15 Worthington Avenue , Winnipeg R2M 1G6",0,0,RD,3,2.0,6,1971,Double Detached,nan,0.0,0.0,nan,0,nan,0.0,2025-06-11,Summer,0
202513038,"25 Sadler Avenue , Winnipeg R2M1N6",0,0,RD,4,2.0,0,0,Front & Rear Drive Access,1525,0.0,0.0,St Vital,1525,St Vital,0.0,2025-06-11,Summer,0
202510048,"46 John Neufeld Crescent , Winnipeg R3T 2W8",0,0,RD,4,2.5,21,2024,Double Attached,nan,0.0,0.0,Fort Richmond,0,Fort Richmond,0.0,2025-06-11,Summer,0
202511512,"136 Wildwood C Park , Winnipeg R3T 0E1",0,0,RD,3,1.5,7,1947,nan,1152,0.0,0.0,Wildwood,1152,Wildwood,0.0,2025-06-11,Summer,0
202510067,"91 Gemini Avenue , Winnipeg R2G 0T7",0,0,RD,3,1.0,7,0,"Single Detached, Oversized, Parking Pad, Rear Driv",nan,0.0,0.0,North Kildonan,0,North Kildonan,0.0,2025-06-11,Summer,0
202510004,"32 Stone Meadow Road , Winnipeg R3Y 1S4",0,0,RD,3,2.0,9,2017,Double Attached,nan,0.0,0.0,Bridgwater Trails,0,Bridgwater Trails,0.0,2025-06-11,Summer,0
202510464,"4921 Eldridge Avenue , Winnipeg R3R 0M4",0,0,RD,3,2.0,7,1969,"Single Detached, Front Drive Access",1128,0.0,0.0,Charleswood,1128,Charleswood,0.0,2025-06-11,Summer,0
202513202,"405 Churchill Drive , Winnipeg R3L 1W2",524900,601405,RD,3,0.0,9,1954,Double Detached,1472,0.0,0.0,nan,1472,nan,0.0,2025-06-11,Summer,524900
202513082,"853 Nassau Street S, Winnipeg R3L 2N1",224900,232500,RD,2,0.0,12,1909,"Carport, Rear Drive Access",800,0.0,0.0,nan,800,nan,0.0,2025-06-11,Summer,224900
202511521,"324 Morley Avenue , Winnipeg R3L 0Y5",299900,292500,RD,3,0.0,12,1913,"Rear Drive Access, Unpaved Driveway",1202,0.0,0.0,nan,1202,nan,0.0,2025-06-11,Summer,299900
202513491,"515 Wardlaw Avenue , Winnipeg R3L 0L9",599990,600000,RD,4,0.0,0,1905,"Single Detached, Parking Pad",2018,0.0,0.0,nan,2018,nan,0.0,2025-06-11,Summer,599990
202509071,"724 Ebby Avenue , Winnipeg R3M 2H6",249900,239900,RD,2,0.0,32,1947,"Single Detached, Rear Drive Access",700,0.0,0.0,nan,700,nan,0.0,2025-06-11,Summer,249900
202510991,"866 Garwood Avenue , Winnipeg R3M 1N5",309900,337000,RD,2,0.0,7,1930,"Single Detached, Garage door opener, Parking Pad",712,0.0,0.0,nan,712,nan,0.0,2025-06-11,Summer,309900
202513121,"1229 Corydon Avenue , Winnipeg R3M 0X6",349900,400000,RD,5,0.0,6,1950,"Plug-In, Rear Drive Access",1210,0.0,0.0,nan,1210,nan,0.0,2025-06-11,Summer,349900
202513433,"341 Oxford Street , Winnipeg R3M 3H9",1149900,1270000,RD,4,0.0,7,1929,Double Detached,2500,0.0,0.0,nan,2500,nan,0.0,2025-06-11,Summer,1149900
202513663,"768 Borebank Street , Winnipeg R3N 1G4",599900,651600,RD,3,0.0,9,1954,Double Detached,1361,0.0,0.0,nan,1361,nan,0.0,2025-06-11,Summer,599900
202513169,"870 Borebank Street , Winnipeg R3N 1G6",479900,480000,RD,3,0.0,8,1960,"Double Detached, Parking Pad",1122,0.0,0.0,nan,1122,nan,0.0,2025-06-11,Summer,479900
202510896,"674 Waverley Street , Winnipeg R3M 3L6",524900,642500,RD,3,0.0,10,1957,Double Detached,1600,0.0,0.0,nan,1600,nan,0.0,2025-06-11,Summer,524900
202511280,"520 Centennial Street , Winnipeg R3N 1P9",309900,360000,SA,3,0.0,9,1988,Parking Pad,1072,0.0,0.0,nan,1072,nan,0.0,2025-06-11,Summer,309900
202508831,"1564 Mathers Bay W, Winnipeg R3N 0T7",799900,760000,RD,5,0.0,28,1973,Double Attached,2702,0.0,0.0,nan,2702,nan,0.0,2025-06-11,Summer,799900
202512743,"779 Renfrew Street , Winnipeg R3N 1K3",395000,461000,RD,3,0.0,10,1957,Double Detached,1000,0.0,0.0,nan,1000,nan,0.0,2025-06-11,Summer,395000
202512722,"141 Park Place W, Winnipeg R3P 2C8",990000,1160000,RD,4,0.0,8,1992,"Double Attached, Front Drive Access, Insulated",2750,0.0,0.0,nan,2750,nan,0.0,2025-06-11,Summer,990000
202513607,"857 Community Row , Winnipeg R3R 1H9",399900,437000,RD,3,0.0,8,1971,Double Detached,1050,0.0,0.0,nan,1050,nan,0.0,2025-06-11,Summer,399900
202513472,"106 Epsom Crescent , Winnipeg R3R 0X2",439900,579000,RD,2,0.0,7,1983,"Double Attached, Front Drive Access",1104,0.0,0.0,nan,1104,nan,0.0,2025-06-11,Summer,439900
202513759,"821 Laxdal Road , Winnipeg R3R 1V7",224900,220000,VL,0,0.0,5,0,Front Drive Access,nan,0.0,0.0,nan,0,nan,0.0,2025-06-11,Summer,224900
202508446,"381 Glenbush Street , Winnipeg R2Y 0N1",884000,850000,RD,3,0.0,42,2016,Double Attached,1674,0.0,0.0,nan,1674,nan,0.0,2025-06-11,Summer,884000
202510910,"54 Cadiz Bay , Winnipeg R3R 2M7",499900,460000,RD,3,0.0,10,1976,"Single Attached, Front Drive Access, Paved Drivewa",1380,0.0,0.0,nan,1380,nan,0.0,2025-06-11,Summer,499900
202512945,"634 Fairmont Road , Winnipeg R3R 1B1",949900,940000,RD,4,0.0,7,2007,"Triple Attached, Front Drive Access, Garage door o",2275,0.0,0.0,nan,2275,nan,0.0,2025-06-11,Summer,949900
202512975,"607 Dieppe Road , Winnipeg R3R 1C5",419900,550000,RD,3,0.0,7,1967,Double Attached,1539,0.0,0.0,nan,1539,nan,0.0,2025-06-11,Summer,419900
202511045,"134 Robindale Road , Winnipeg R3R 1G7",399900,387500,RD,2,0.0,9,1949,Double Attached,796,0.0,0.0,nan,796,nan,0.0,2025-06-11,Summer,399900
202511252,"82 Bergman Crescent , Winnipeg R3R 1Z7",299900,351500,SA,3,0.0,12,1973,Carport,948,0.0,0.0,nan,948,nan,0.0,2025-06-11,Summer,299900
202511493,"27 O’Brien Crescent , Winnipeg R3R 1M5",529900,515000,RD,4,0.0,13,1966,Single Attached,1850,0.0,0.0,nan,1850,nan,0.0,2025-06-11,Summer,529900
202513014,"73 Kestrel Way , Winnipeg R3R 3Y7",549900,565073,RD,3,0.0,7,2019,Double Attached,1263,0.0,0.0,nan,1263,nan,0.0,2025-06-11,Summer,549900
202507722,"34 Kowalsky Crescent , Winnipeg R3R 3A8",679900,660000,RD,3,0.0,42,2017,"Double Attached, Front Drive Access, Garage door o",1649,0.0,0.0,nan,1649,nan,0.0,2025-06-11,Summer,679900
202513908,"10 Neptune Bay , Winnipeg R3T 0Z7",299900,350000,RD,3,0.0,6,1963,Single Detached,1382,0.0,0.0,nan,1382,nan,0.0,2025-06-11,Summer,299900
202507570,"1462 Mars Drive , Winnipeg R3T 1E9",379000,425000,RD,3,0.0,8,1960,"Single Detached, Garage door opener, Heated, Insul",948,0.0,0.0,nan,948,nan,0.0,2025-06-11,Summer,379000
202509586,"71 Loyola Bay , Winnipeg R3P 0T3",374900,410000,RD,4,0.0,8,1968,Oversized,1000,0.0,0.0,nan,1000,nan,0.0,2025-06-11,Summer,374900
202507896,"43 Macalester Bay , Winnipeg R3T 2X6",456000,427140,RD,3,0.0,39,1965,"Single Attached, Breezeway",1000,0.0,0.0,nan,1000,nan,0.0,2025-06-11,Summer,456000
202510809,"71 Bryn Mawr Road , Winnipeg R3T 3K3",499000,486500,RD,3,0.0,13,1972,Single Detached,1068,0.0,0.0,nan,1068,nan,0.0,2025-06-11,Summer,499000
202513014,"73 Kestrel Way , Winnipeg R3R 3Y7",549900,565073,RD,3,0.0,7,2019,Double Attached,1263,0.0,0.0,nan,1263,nan,0.0,2025-06-11,Summer,549900
202507722,"34 Kowalsky Crescent , Winnipeg R3R 3A8",679900,660000,RD,3,0.0,42,2017,"Double Attached, Front Drive Access, Garage door o",1649,0.0,0.0,nan,1649,nan,0.0,2025-06-11,Summer,679900
202513908,"10 Neptune Bay , Winnipeg R3T 0Z7",299900,350000,RD,3,0.0,6,1963,Single Detached,1382,0.0,0.0,nan,1382,nan,0.0,2025-06-11,Summer,299900
202507570,"1462 Mars Drive , Winnipeg R3T 1E9",379000,425000,RD,3,0.0,8,1960,"Single Detached, Garage door opener, Heated, Insul",948,0.0,0.0,nan,948,nan,0.0,2025-06-11,Summer,379000
202509586,"71 Loyola Bay , Winnipeg R3P 0T3",374900,410000,RD,3,0.0,8,1968,Oversized,1000,0.0,0.0,nan,1000,nan,0.0,2025-06-11,Summer,374900
202507896,"43 Macalester Bay , Winnipeg R3T 2X6",456000,427140,RD,3,0.0,39,1965,"Single Attached, Breezeway",1000,0.0,0.0,nan,1000,nan,0.0,2025-06-11,Summer,456000
202510809,"71 Bryn Mawr Road , Winnipeg R3T 3K3",499000,486500,RD,3,0.0,13,1972,Single Detached,1068,0.0,0.0,nan,1068,nan,0.0,2025-06-11,Summer,499000
202513014,"73 Kestrel Way , Winnipeg R3R 3Y7",549900,565073,RD,3,0.0,7,2019,Double Attached,1263,0.0,0.0,nan,1263,nan,0.0,2025-06-11,Summer,549900
202507722,"34 Kowalsky Crescent , Winnipeg R3R 3A8",679900,660000,RD,3,0.0,42,2017,"Double Attached, Front Drive Access, Garage door o",1649,0.0,0.0,nan,1649,nan,0.0,2025-06-11,Summer,679900
202513908,"10 Neptune Bay , Winnipeg R3T 0Z7",299900,350000,RD,3,0.0,6,1963,Single Detached,1382,0.0,0.0,nan,1382,nan,0.0,2025-06-11,Summer,299900
202507570,"1462 Mars Drive , Winnipeg R3T 1E9",379000,425000,RD,3,0.0,8,1960,"Single Detached, Garage door opener, Heated, Insul",948,0.0,0.0,nan,948,nan,0.0,2025-06-11,Summer,379000
202509586,"71 Loyola Bay , Winnipeg R3P 0T3",374900,410000,RD,4,0.0,8,1968,Oversized,1000,0.0,0.0,nan,1000,nan,0.0,2025-06-11,Summer,374900
202507896,"43 Macalester Bay , Winnipeg R3T 2X6",456000,427140,RD,3,0.0,39,1965,"Single Attached, Breezeway",1000,0.0,0.0,nan,1000,nan,0.0,2025-06-11,Summer,456000
202510809,"71 Bryn Mawr Road , Winnipeg R3T 3K3",499000,486500,RD,3,0.0,13,1972,Single Detached,1068,0.0,0.0,nan,1068,nan,0.0,2025-06-11,Summer,499000
202513014,"73 Kestrel Way , Winnipeg R3R 3Y7",549900,565073,RD,3,0.0,7,2019,Double Attached,1263,0.0,0.0,nan,1263,nan,0.0,2025-06-11,Summer,549900
202507722,"34 Kowalsky Crescent , Winnipeg R3R 3A8",679900,660000,RD,3,0.0,42,2017,"Double Attached, Front Drive Access, Garage door o",1649,0.0,0.0,nan,1649,nan,0.0,2025-06-11,Summer,679900
202513908,"10 Neptune Bay , Winnipeg R3T 0Z7",299900,350000,RD,3,0.0,6,1963,Single Detached,1382,0.0,0.0,nan,1382,nan,0.0,2025-06-11,Summer,299900
202507570,"1462 Mars Drive , Winnipeg R3T 1E9",379000,425000,RD,3,0.0,8,1960,"Single Detached, Garage door opener, Heated, Insul",948,0.0,0.0,nan,948,nan,0.0,2025-06-11,Summer,379000
202509586,"71 Loyola Bay , Winnipeg R3P 0T3",374900,410000,RD,4,0.0,8,1968,Oversized,1000,0.0,0.0,nan,1000,nan,0.0,2025-06-11,Summer,374900
202507896,"43 Macalester Bay , Winnipeg R3T 2X6",456000,427140,RD,3,0.0,39,1965,"Single Attached, Breezeway",1000,0.0,0.0,nan,1000,nan,0.0,2025-06-11,Summer,456000
202510809,"71 Bryn Mawr Road , Winnipeg R3T 3K3",499000,486500,RD,3,0.0,13,1972,Single Detached,1068,0.0,0.0,nan,1068,nan,0.0,2025-06-11,Summer,499000
202513014,"73 Kestrel Way , Winnipeg R3R 3Y7",549900,565073,RD,3,0.0,7,2019,Double Attached,1263,0.0,0.0,nan,1263,nan,0.0,2025-06-11,Summer,549900
202507722,"34 Kowalsky Crescent , Winnipeg R3R 3A8",679900,660000,RD,3,0.0,42,2017,"Double Attached, Front Drive Access, Garage door o",1649,0.0,0.0,nan,1649,nan,0.0,2025-06-11,Summer,679900
202513908,"10 Neptune Bay , Winnipeg R3T 0Z7",299900,350000,RD,3,0.0,6,1963,Single Detached,1382,0.0,0.0,nan,1382,nan,0.0,2025-06-11,Summer,299900
202507570,"1462 Mars Drive , Winnipeg R3T 1E9",379000,425000,RD,3,0.0,8,1960,"Single Detached, Garage door opener, Heated, Insul",948,0.0,0.0,nan,948,nan,0.0,2025-06-11,Summer,379000
202512899,"51 Prestwood Place , Winnipeg R3T 4Y9",469900,469900,RD,3,0.0,10,1981,"Single Attached, Front Drive Access",1844,0.0,0.0,nan,1844,nan,0.0,2025-06-11,Summer,469900
202509800,"62 Lakeglen Drive , Winnipeg R3T 4N5",524900,525000,RD,3,0.0,12,1977,Double Attached,1314,0.0,0.0,nan,1314,nan,0.0,2025-06-11,Summer,524900
202510910,"54 Cadiz Bay , Winnipeg R3R 2M7",499900,460000,RD,3,0.0,10,1976,"Single Attached, Front Drive Access, Paved Drivewa",1380,0.0,0.0,nan,1380,nan,0.0,2025-06-11,Summer,499900
202512945,"634 Fairmont Road , Winnipeg R3R 1B1",949900,940000,RD,4,0.0,7,2007,"Triple Attached, Front Drive Access, Garage door o",2275,0.0,0.0,nan,2275,nan,0.0,2025-06-11,Summer,949900
202512975,"607 Dieppe Road , Winnipeg R3R 1C5",419900,550000,RD,3,0.0,7,1967,Double Attached,1539,0.0,0.0,nan,1539,nan,0.0,2025-06-11,Summer,419900
202511045,"134 Robindale Road , Winnipeg R3R 1G7",399900,387500,RD,2,0.0,9,1949,Double Attached,796,0.0,0.0,nan,796,nan,0.0,2025-06-11,Summer,399900
202511252,"82 Bergman Crescent , Winnipeg R3R 1Z7",299900,351500,SA,3,0.0,12,1973,Carport,948,0.0,0.0,nan,948,nan,0.0,2025-06-11,Summer,299900
202513014,"73 Kestrel Way , Winnipeg R3R 3Y7",549900,565073,RD,3,0.0,7,2019,Double Attached,1263,0.0,0.0,nan,1263,nan,0.0,2025-06-11,Summer,549900
202507722,"34 Kowalsky Crescent , Winnipeg R3R 3A8",679900,660000,RD,3,0.0,42,2017,"Double Attached, Front Drive Access, Garage door o",1649,0.0,0.0,nan,1649,nan,0.0,2025-06-11,Summer,679900
202513908,"10 Neptune Bay , Winnipeg R3T 0Z7",299900,350000,RD,3,0.0,6,1963,Single Detached,1382,0.0,0.0,nan,1382,nan,0.0,2025-06-11,Summer,299900
202507570,"1462 Mars Drive , Winnipeg R3T 1E9",379000,425000,RD,3,0.0,8,1960,"Single Detached, Garage door opener, Heated, Insul",948,0.0,0.0,nan,948,nan,0.0,2025-06-11,Summer,379000
202512722,"141 Park Place W, Winnipeg R3P 2C8",990000,1160000,RD,4,0.0,8,1992,"Double Attached, Front Drive Access, Insulated",2750,0.0,0.0,nan,2750,nan,0.0,2025-06-11,Summer,990000
202511361,"50 Barrmill Road , Winnipeg R3R 3Y7",649900,640000,RD,3,0.0,13,2021,Double Attached,1629,0.0,0.0,nan,1629,nan,0.0,2025-06-11,Summer,649900
202512681,"313 Park West Drive , Winnipeg R3Y 0V9",479900,479900,TH,3,0.0,0,2017,Parking Pad,1492,0.0,0.0,nan,1492,nan,0.0,2025-06-11,Summer,479900
202512736,"99 Duncan Norrie Drive , Winnipeg R3P 2K2",689900,781500,RD,3,0.0,8,1996,Double Attached,2215,0.0,0.0,nan,2215,nan,0.0,2025-06-11,Summer,689900
202513464,"267 Park West Drive , Winnipeg R3Y 0T4",499900,501000,SA,4,0.0,8,2015,Double Detached,1537,0.0,0.0,nan,1537,nan,0.0,2025-06-11,Summer,499900
202509705,"10 Hidden Ridge Cove , Winnipeg R3Y 1X1",749900,740000,RD,3,0.0,19,2004,Double Attached,1983,0.0,0.0,nan,1983,nan,0.0,2025-06-11,Summer,749900
202511547,"171 Southbend Crescent , Winnipeg R3P 2H4",584900,592000,RD,4,0.0,6,1990,Double Attached,1870,0.0,0.0,nan,1870,nan,0.0,2025-06-11,Summer,584900
202512736,"99 Duncan Norrie Drive , Winnipeg R3P 2K2",689900,781500,RD,3,0.0,8,1996,Double Attached,2215,0.0,0.0,nan,2215,nan,0.0,2025-06-11,Summer,689900
202512784,"107 Valley Brook Road , Winnipeg R3Y 0Z8",1070000,1015000,RD,5,0.0,11,2022,Double Attached,2494,0.0,0.0,nan,2494,nan,0.0,2025-06-11,Summer,1070000
202509710,"139 Landover Drive , Winnipeg R3Y 0Z2",598880,598880,RD,4,0.0,7,2019,Double Detached,1612,0.0,0.0,nan,1612,nan,0.0,2025-06-11,Summer,598880
202513464,"267 Park West Drive , Winnipeg R3Y 0T4",499900,501000,SA,4,0.0,8,2015,Double Detached,1537,0.0,0.0,nan,1537,nan,0.0,2025-06-11,Summer,499900
202510910,"54 Cadiz Bay , Winnipeg R3R 2M7",499900,460000,RD,3,0.0,10,1976,"Single Attached, Front Drive Access, Paved Drivewa",1380,0.0,0.0,nan,1380,nan,0.0,2025-06-11,Summer,499900
202512945,"634 Fairmont Road , Winnipeg R3R 1B1",949900,940000,RD,4,0.0,7,2007,"Triple Attached, Front Drive Access, Garage door o",2275,0.0,0.0,nan,2275,nan,0.0,2025-06-11,Summer,949900
202512975,"607 Dieppe Road , Winnipeg R3R 1C5",419900,550000,RD,3,0.0,7,1967,Double Attached,1539,0.0,0.0,nan,1539,nan,0.0,2025-06-11,Summer,419900
202513014,"73 Kestrel Way , Winnipeg R3R 3Y7",549900,565073,RD,3,0.0,7,2019,Double Attached,1263,0.0,0.0,nan,1263,nan,0.0,2025-06-11,Summer,549900
202507722,"34 Kowalsky Crescent , Winnipeg R3R 3A8",679900,660000,RD,3,0.0,42,2017,"Double Attached, Front Drive Access, Garage door o",1649,0.0,0.0,nan,1649,nan,0.0,2025-06-11,Summer,679900
202513908,"10 Neptune Bay , Winnipeg R3T 0Z7",299900,350000,RD,3,0.0,6,1963,Single Detached,1382,0.0,0.0,nan,1382,nan,0.0,2025-06-11,Summer,299900
